słowo,rodzaj,emocja,e,i,subset
BEZNADZIEJNY,p,neg,"0,7346938776","3,3673469388",1
BEZRADNY,p,neg,"0,7857142857","4,275862069",1
BEZSILNY,p,neg,"1,0487804878","4,025",1
BEZWARTOŚCIOWY,p,neg,"0,6428571429","3,5",1
BRZYDKI,p,neg,"1,8275862069","5,7333333333",1
DRAŻLIWY,p,neg,"1,5","4,0333333333",1
GŁUPI,p,neg,"1,2608695652","3,847826087",1
GORSZY,p,neg,"1,2068965517","4,0333333333",1
MIZERNY,p,neg,"1,3333333333","5,0344827586",1
NĘDZNY,p,neg,"1,2222222222","4,2413793103",1
NIEKOMPETENTNY,p,neg,"1,2142857143","3,6206896552",1
NIEPOTRZEBNY,p,neg,"1,1489361702","3,5833333333",1
NIESPOKOJNY,p,neg,"1,6458333333","4,625",1
NIESZCZĘŚLIWY,p,neg,"0,8947368421","4,8378378378",1
NIEUDOLNY,p,neg,"1,1785714286","3,5517241379",1
OCIĘŻAŁY,p,neg,"1,4444444444","3,7586206897",1
ODPYCHAJĄCY,p,neg,"1,05","4,4615384615",1
ODRZUCONY,p,neg,"0,8571428571","5,1333333333",1
OKROPNY,p,neg,"0,8571428571","3,7346938776",1
OPUSZCZONY,p,neg,"1,3571428571","4,2333333333",1
PODŁY,p,neg,"0,6071428571","3,8",1
PONURY,p,neg,"1,3265306122","4,6734693878",1
PRZEMĘCZONY,p,neg,"1,4482758621","5,2",1
PRZYBITY,p,neg,"1,1785714286","4,5172413793",1
PRZYGNĘBIONY,p,neg,"1,0357142857","4,9666666667",1
ROZCZAROWANY,p,neg,"1,0714285714","4,0243902439",1
ROZŻALONY,p,neg,"1,1282051282","3,4473684211",1
SKRZYWDZONY,p,neg,"0,6041666667","4,3541666667",1
SŁABY,p,neg,"1,387755102","4,6041666667",1
UDRĘCZONY,p,neg,"0,612244898","4,2244897959",1
WINNY,p,neg,"1,1836734694","4,2653061224",1
WYCOFANY,p,neg,"1,4642857143","3,9",1
WYCZERPANY,p,neg,"1,2","4,8974358974",1
WYKOŃCZONY,p,neg,"1,1111111111","5,4827586207",1
WYOBCOWANY,p,neg,"1,1555555556","4,2888888889",1
WYPALONY,p,neg,"1,2857142857","4,3666666667",1
ZAŁAMANY,p,neg,"0,5744680851","4,9782608696",1
ZANIEPOKOJONY,p,neg,"1,5","4,3333333333",1
ZAPŁAKANY,p,neg,1,"6,3793103448",1
ZBĘDNY,p,neg,"1,7142857143","2,8",1
ZMARTWIONY,p,neg,"1,25","5,0909090909",1
ZMĘCZONY,p,neg,"1,6734693878","5,5306122449",1
ZNIECHĘCONY,p,neg,"1,3214285714","3,7333333333",1
ZOBOJĘTNIAŁY,p,neg,"1,5925925926","3,8965517241",1
ZREZYGNOWANY,p,neg,"1,3571428571","4,3",1
ZROZPACZONY,p,neg,"0,4893617021","4,7659574468",1
ŻAŁOSNY,p,neg,"1,0714285714","4,2666666667",1
BEZSENS,r,neg,"1,075","2,3076923077",1
BRZEMIĘ,r,neg,"1,5925925926","3,3793103448",1
CHOROBA,r,neg,"0,5","5,7666666667",1
CIERPIENIE,r,neg,"0,3571428571","6,1034482759",1
DEPRESJA,r,neg,"0,3571428571","5,7666666667",1
IDIOTA,r,neg,"1,0454545455","4,3636363636",1
